question_id,query_type,full_tokens,pns_tokens,compression_fraction
1428,nie,2052,954,0.5350877192982456
4171,ate,3942,3335,0.15398274987316082
4255,ett,4342,3639,0.16190695532012897
4274,ate,2813,2443,0.13153217205830076
4284,ate,4425,2419,0.4533333333333333
8752,nie,3243,2995,0.07647240209682393
9577,det-counterfactual,1611,826,0.4872749844816884
9588,det-counterfactual,1507,552,0.6337093563370936
9590,det-counterfactual,1013,552,0.4550839091806515
9611,det-counterfactual,2217,970,0.5624718087505638
9686,det-counterfactual,1553,1262,0.18737926593689633
9883,det-counterfactual,1639,1129,0.3111653447223917
9957,det-counterfactual,953,516,0.45855194123819515
10009,det-counterfactual,762,532,0.30183727034120733
10242,det-counterfactual,1525,878,0.4242622950819672
11849,nie,2858,1535,0.4629111266620014
13224,nie,2482,1529,0.38396454472199837
14516,nie,1994,1565,0.21514543630892677
14591,ate,4074,3194,0.21600392734413354
17519,nie,2315,1231,0.46825053995680344
18188,nde,4247,2995,0.29479632681893103
19368,ate,3286,2689,0.1816798539257456
19969,det-counterfactual,2405,1185,0.5072765072765073
19978,det-counterfactual,1268,763,0.39826498422712936
20177,det-counterfactual,1803,555,0.6921797004991681
20214,det-counterfactual,2364,1448,0.38747884940778343
20438,det-counterfactual,1456,984,0.3241758241758242
20959,nie,2008,1094,0.4551792828685259
23635,nie,1729,1195,0.30884904569115096
23999,nie,2763,1500,0.4571118349619978
24894,nde,3624,3164,0.12693156732891833
28145,ate,3327,1797,0.4598737601442741
29590,det-counterfactual,1473,956,0.35098438560760353
29612,det-counterfactual,1740,1300,0.25287356321839083
29642,det-counterfactual,2163,1191,0.44937586685159503
29705,det-counterfactual,2397,1335,0.4430538172715895
29962,det-counterfactual,1881,842,0.5523657628920787
29980,det-counterfactual,1143,706,0.38232720909886264
29982,det-counterfactual,1247,825,0.3384121892542101
29990,det-counterfactual,1559,1204,0.22771007055805004
30344,det-counterfactual,1176,550,0.532312925170068
30359,det-counterfactual,2450,1525,0.37755102040816324
30363,det-counterfactual,3175,1589,0.4995275590551181
30459,det-counterfactual,1759,1013,0.42410460488914153
30491,det-counterfactual,1767,1226,0.30616864742501415
30505,det-counterfactual,3229,1770,0.4518426757510065
30650,det-counterfactual,2109,1658,0.21384542437174017
30701,det-counterfactual,1379,912,0.3386511965192168
30749,det-counterfactual,2058,1306,0.3654033041788144
30846,det-counterfactual,2311,1414,0.38814366075292084
30894,det-counterfactual,1757,1003,0.42914058053500287
30995,det-counterfactual,2453,1324,0.46025275173257235
