c0_answer,c0_correct,candidate_answer,candidate_changed_from_c0,candidate_correct,candidate_first_pass_record_sha256,gold_answer_post_run_join,legacy_answer,legacy_correct,legacy_execution_valid,legacy_failure_type,order,pack,query_family,question_id
yes,True,yes,False,True,bfcd4a3bb03cda49e318bdef3b76efcf72a8fc67dc9c9c4f42e2f4522be3a0ab,yes,yes,True,True,,0,clean_holdout_natural,correlation,cladder:5581
no,True,no,False,True,8349f5c95b229fbe97fd58e6cd2762f92ad69955b6b1c0894dc5f6269188fb97,no,no,True,True,,1,clean_holdout_natural,correlation,cladder:21061
no,True,no,False,True,3ebc657d05ca9ae5f2d0985e1d1cacb119313e4fbdb2d19ba9c73dcc7ed84982,no,no,True,True,,2,clean_holdout_natural,ate,cladder:11444
yes,True,yes,False,True,c226f8d67e23fd56c0482ea04df574ee582327dbabea378261ae9a67a011cd9d,yes,yes,True,True,,3,clean_holdout_natural,ate,cladder:26437
yes,False,yes,False,False,ec5a894725f2a8d24f3b7df0c19bae635c5874fbed13e573f7bf1e8c94394aa5,no,no,True,True,,4,clean_holdout_natural,ate,cladder:21517
yes,True,yes,False,True,2ca29dc80fffbb9d26d7490db2b8ad184df883a2d0864ced03beb4ae20e8eb2a,yes,yes,True,True,,5,clean_holdout_natural,ate,cladder:5667
yes,True,yes,False,True,2a578611022c896d050731e470f9bb0afb6f27f4546bf42cc03890633462004e,yes,yes,True,True,,6,clean_holdout_natural,marginal,cladder:23321
no,True,no,False,True,0a6f1dc1ff9b268b0c2e9215ef23d041b37a76e2c6dd21d0a23a25b2cd094f5b,no,no,True,True,,7,clean_holdout_natural,backadj,cladder:12785
no,True,no,False,True,cf61988086a7f696ae9ca782467bd385ceee0c3c88afc4d12ed1c2f5e9f76436,no,no,True,True,,8,clean_holdout_natural,marginal,cladder:24133
yes,True,yes,False,True,92a3db6d4d73d77bc4308c721f49c1eab5526e9ad95dc88e39796fd9ac527bcc,yes,yes,True,True,,9,clean_holdout_natural,ate,cladder:28172
yes,True,yes,False,True,fd1948e58d43d5c2f6566cd08a79174cd377f9ab877869920df9324f1fa28b5b,yes,yes,True,True,,10,clean_holdout_natural,ate,cladder:13483
yes,True,yes,False,True,24d4aebd1cc6441e2b77a3916e2de28a69a41350d7652e4da909b5c4c67b9396,yes,yes,True,True,,11,clean_holdout_natural,backadj,cladder:11049
no,True,no,False,True,f7c125d5801294e86f20d03fca0621ee436b0f021c8c8a4298a01b58934aa185,no,no,True,True,,12,clean_holdout_natural,det-counterfactual,cladder:19915
no,True,no,False,True,f472666885398e58313ea54f7e79c04bf6ada182eeca6ba65519bef64ff71f3a,no,no,True,True,,13,clean_holdout_natural,ett,cladder:23564
yes,True,yes,False,True,c53f4e11e8667e43ddda877a3032ee9d79effbc91d68643a739f459214f16d88,yes,yes,True,True,,14,clean_holdout_natural,nie,cladder:1747
no,True,no,False,True,3715880a4ad9b4d108615bddc6ee92abf114a4c21d74a47d45e217e292be5989,no,no,True,True,,15,clean_holdout_natural,marginal,cladder:18305
yes,True,yes,False,True,b5a4afaeb5f2932eba2ae4d1f9f238ba9bcf45675167e3a15e79a92895fc7a89,yes,yes,True,True,,16,clean_holdout_natural,det-counterfactual,cladder:19960
no,True,no,False,True,856c473bb22fa2943761577e881137b793095b5dca9529a435e2e2487e0b3882,no,no,True,True,,17,clean_holdout_natural,marginal,cladder:224
no,True,no,False,True,34b913299eb76b705458e3af5370a3ee3050d23b18ab73ed04c3f5905d527251,no,no,True,True,,18,clean_holdout_natural,ett,cladder:21057
yes,True,yes,False,True,5b00627223156db437330e3c5104da5dedb517d936fbe746d15a9e1e0b4f70b1,yes,yes,True,True,,19,clean_holdout_natural,ate,cladder:19043
no,True,no,False,True,b02f0ec49b95d00ef9de6bb334c6478b46345cc8fb6af189beab516821fd560b,no,no,True,True,,20,clean_holdout_natural,ate,cladder:24681
no,True,no,False,True,b6698cb8d9b989cd63bf6223ece2c1647c4e634234869d2c3b76c7b39ff4883a,no,no,True,True,,21,clean_holdout_natural,nie,cladder:19191
no,True,no,False,True,a03d9f69fb767adec6e6059f08ea13fe157c7231eee51ab63479972c46b04e09,no,no,True,True,,22,clean_holdout_natural,correlation,cladder:25595
yes,True,yes,False,True,6e55a5c1cfd3f7cfe83391bf0051f7ead757327e5c1fe9d59c438af65bec91de,yes,yes,True,True,,23,clean_holdout_natural,correlation,cladder:10999
no,True,no,False,True,9770fe5d25806549e887dc921a6a1672ab65fcf28ac9116f9567f0d184a5d79b,no,no,True,True,,24,clean_holdout_natural,ate,cladder:3100
no,True,no,False,True,2ae3e33f70fa5550bfe9ebeef4447ec762c2cfc557396951fcf62aa4538ce6c3,no,no,True,True,,25,clean_holdout_natural,ett,cladder:21192
no,True,no,False,True,ffc9ec1903211c9214c349738048b6909207ccef940ec339223562bacbf74195,no,no,True,True,,26,clean_holdout_natural,marginal,cladder:984
yes,True,yes,False,True,185e5192bea0f1fc5c2ef412bc6c2bfd67f64aa5543e75a3f8b58913ededf5a1,yes,yes,True,True,,27,clean_holdout_natural,correlation,cladder:3464
yes,True,yes,False,True,d3c00584ee5ab0385e0f2e7cf2e91610a16c9ff47699ae8e9b0a76cf2b4004af,yes,yes,True,True,,28,clean_holdout_natural,ate,cladder:12033
yes,True,yes,False,True,08a03bde758850ad30b9d73e8ff3e4aae7755d229982666b67bd623565c7755c,yes,yes,True,True,,29,clean_holdout_natural,ate,cladder:15387
yes,True,yes,False,True,5a760634f0273dc775f7f54f05e81055e6e3e951abaabe37b509c9da74b46665,yes,yes,True,True,,30,clean_holdout_natural,marginal,cladder:3362
yes,True,yes,False,True,44fe1770c3d4fe454d558c01434ae21db11155a9d69aeba4c4b5d193b0a5cb58,yes,yes,True,True,,31,clean_holdout_natural,nde,cladder:9149
no,True,no,False,True,b37f12bb248de6d1d1be798888334cdb603f7d5bfaf9daca7e2036142ff6fa18,no,no,True,True,,32,clean_holdout_natural,det-counterfactual,cladder:9669
yes,True,yes,False,True,f1c62a3d994eb175f05dc174f355b6a27657cedd692fc16b2dda053b64f19e8e,yes,yes,True,True,,33,clean_holdout_natural,ate,cladder:10656
no,True,no,False,True,f75c0b4337e4ba66c12101ac9e52b66746e785d4d47bef24bfbd1a929dbae7da,no,no,True,True,,34,clean_holdout_natural,nie,cladder:12850
no,True,no,False,True,1200dbe956b81a81853c6b52c1ffcdbea59a54c7809dfe37f545b58d45e01878,no,no,True,True,,35,clean_holdout_natural,det-counterfactual,cladder:9874
yes,True,yes,False,True,96869b015ea720403b7a9568cfaf0057ea04269fc809341abf66925584b37ca0,yes,yes,True,True,,36,clean_holdout_natural,ett,cladder:19054
yes,True,yes,False,True,061b31418bf0fb4a38182373b305a9657c6f9eb6da6eb8f3651b0494566c861c,yes,yes,True,True,,37,clean_holdout_natural,correlation,cladder:16926
no,True,no,False,True,80e431d300cca18b3e95fea97b501ef1282a7fb40149cc7ce41481e5177c38c4,no,no,True,True,,38,clean_holdout_natural,correlation,cladder:7067
no,True,no,False,True,d0f9fa2f2d43acdeefec96b23e9eb5446aa9bd88dd2284cefe5ade78c88a4f94,no,no,True,True,,39,clean_holdout_natural,ett,cladder:406
yes,True,yes,False,True,d951f3e85d0e3ff2f77e1a39454fc1622eb9bc7f0ad8453b44fccb85fe85ade9,yes,yes,True,True,,40,clean_holdout_natural,ate,cladder:5382
no,True,no,False,True,976a67af71e8760bcb530b406f453c79739650af228e1c171a43793bcb555223,no,no,True,True,,41,clean_holdout_natural,marginal,cladder:12241
no,True,no,False,True,ce9c18a5b8638a50d00e5b6e85347938bd188968e4814681aa9e68b70b7fd076,no,no,True,True,,42,clean_holdout_natural,det-counterfactual,cladder:20677
