question_id,group_id,query_type,arm,gold_answer,predicted_answer,correct,format_valid,api_ok,status,truncated,prompt_tokens,completion_tokens,total_tokens,latency_seconds
1100055,fresh:seed:2026092057,ate,ZERO,yes,yes,1,1,1,completed,0,267.0,1682.0,1949.0,107.76830075494945
1100069,fresh:seed:2026092072,ate,ZERO,no,no,1,1,1,completed,0,267.0,5604.0,5871.0,352.2372638769448
1100172,fresh:seed:2026192082,ett,ZERO,no,yes,0,1,1,completed,0,270.0,3047.0,3317.0,190.28449618071318
1100018,fresh:seed:2026092018,ate,ZERO,yes,yes,1,1,1,completed,0,267.0,1481.0,1748.0,93.52352739498019
1100244,fresh:seed:2026392048,nie,ZERO,no,no,1,1,1,completed,0,273.0,2721.0,2994.0,170.2452833559364
1100185,fresh:seed:2026292009,nde,ZERO,no,no,1,1,1,completed,0,271.0,3786.0,4057.0,238.17059440352023
1100036,fresh:seed:2026092037,ate,ZERO,yes,yes,1,1,1,completed,0,265.0,3206.0,3471.0,200.31840519048274
1100134,fresh:seed:2026192042,ett,ZERO,no,no,1,1,1,completed,0,270.0,3444.0,3714.0,214.88881910033524
1100203,fresh:seed:2026392007,nie,ZERO,yes,yes,1,1,1,completed,0,256.0,1057.0,1313.0,68.52078135684133
1100060,fresh:seed:2026092062,ate,ZERO,yes,yes,1,1,1,completed,0,267.0,2702.0,2969.0,169.05071949213743
1100242,fresh:seed:2026392046,nie,ZERO,no,no,1,1,1,completed,0,233.0,2745.0,2978.0,170.3970790170133
1100220,fresh:seed:2026392024,nie,ZERO,no,yes,0,1,1,completed,0,274.0,3325.0,3599.0,206.2002099826932
1100072,fresh:seed:2026092075,ate,ZERO,no,yes,0,1,1,completed,0,266.0,2096.0,2362.0,129.38435010053217
1100224,fresh:seed:2026392028,nie,ZERO,no,no,1,1,1,completed,0,236.0,2263.0,2499.0,140.05420453101397
1100215,fresh:seed:2026392019,nie,ZERO,yes,yes,1,1,1,completed,0,255.0,2059.0,2314.0,131.16710511036217
1100011,fresh:seed:2026092011,ate,ZERO,yes,,0,0,1,completed,0,267.0,2110.0,2377.0,134.26962113939226
1100142,fresh:seed:2026192051,ett,ZERO,no,no,1,1,1,completed,0,268.0,4750.0,5018.0,293.9745344873518
1100170,fresh:seed:2026192080,ett,ZERO,yes,yes,1,1,1,completed,0,269.0,3470.0,3739.0,215.34646719694138
1100130,fresh:seed:2026192038,ett,ZERO,yes,no,0,1,1,completed,0,270.0,3627.0,3897.0,225.24470202066004
1100043,fresh:seed:2026092044,ate,ZERO,no,no,1,1,1,completed,0,267.0,2029.0,2296.0,125.71220595948398
1100026,fresh:seed:2026092027,ate,ZERO,yes,yes,1,1,1,completed,0,267.0,3529.0,3796.0,219.35022471100092
1100133,fresh:seed:2026192041,ett,ZERO,no,no,1,1,1,completed,0,270.0,4368.0,4638.0,272.31231750547886
1100127,fresh:seed:2026192035,ett,ZERO,yes,yes,1,1,1,completed,0,270.0,7186.0,7456.0,448.9386978521943
1100101,fresh:seed:2026192008,ett,ZERO,yes,yes,1,1,1,completed,0,270.0,6097.0,6367.0,380.17835218831897
1100175,fresh:seed:2026192086,ett,ZERO,yes,no,0,1,1,completed,0,270.0,4628.0,4898.0,288.4319504238665
1100163,fresh:seed:2026192073,ett,ZERO,yes,yes,1,1,1,completed,0,270.0,2425.0,2695.0,150.53103292174637
1100143,fresh:seed:2026192052,ett,ZERO,no,yes,0,1,1,completed,0,269.0,4747.0,5016.0,297.1141443978995
1100076,fresh:seed:2026092079,ate,ZERO,no,no,1,1,1,completed,0,267.0,5695.0,5962.0,352.76759936101735
