question_id,query_type,graph_id,model_id,asset_status,gold_answer,recomputed_label,rounded_public_label,SCM_label,given_estimand_numeric_matches_source,SCM_numeric_matches_source,given_estimand_minus_source,SCM_minus_source,candidate_numeric_equalities_extracted,candidate_local_arithmetic_flags,source_step5_status,source_step5,source_oracle,recomputed_given_estimand,recomputed_SCM,full_semantic_status,segment_count,segment_all_text_and_bounds_exact,segments_concat_equals_parent,last_segment_reaches_parent_end,independent_parent_tokens,parent_stored_tokens,parent_final_answer_matches_gold,full_natural_language_semantics,accepted_output,candidate_tokens,strictly_shorter,pool_full_cot_equals_original_parent,pool_parent_token_count_matches,pool_candidate_token_count_matches,selected_request_key,candidate_last_explicit_json_answer,candidate_last_explicit_answer_matches_gold,reasoning_json_extraction_is_not_final_scoring,selected_lineage_status,prefix_plus_suffix_equals_chain,raw_complete_chain_equals_accepted_cot,raw_state,effective_state,recovery_source,branch,step_index,prefix_expected_from_parent_matches,prefix_answer_exposed_marker,raw_final_content_exact_lowercase_json,raw_final_content_strict_json,raw_final_content_answer,raw_final_answer_matches_gold
1428,nie,mediation,319,accepted,yes,yes,yes,yes,True,True,1.6653345369377348e-16,4.440892098500626e-16,0,0,NUMERIC_MISMATCH,0.01 * (0.43 - 0.83)+ 0.82 * (0.50 - 0.73)= 0.33,0.32808246029673194,0.3280824602967321,0.3280824602967324,UNKNOWN,56,True,True,True,2052,2061,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,954,True,True,True,True,q1428-s001-keep-r1,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,1,True,False,True,True,yes,True
4171,ate,frontdoor,962,accepted,yes,yes,yes,yes,True,True,-8.326672684688674e-17,1.1102230246251565e-16,10,0,NUMERIC_MISMATCH,(0.70 - 0.18)* (0.74 * 0.42) + (0.30 - 0.82) * (0.82 * 0.58) = 0.17,0.17310753379882637,0.1731075337988263,0.17310753379882649,UNKNOWN,95,True,True,True,3942,3950,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,3335,True,True,True,True,q4171-s023-delete-r2,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,23,True,False,True,True,yes,True
4255,ett,frontdoor,979,accepted,yes,yes,yes,yes,True,True,-2.7755575615628914e-17,5.551115123125783e-17,14,0,NUMERIC_MISMATCH,0.69 * (0.78 - 0.25) + 0.59 * (0.22 - 0.75) = 0.14,0.13947915315012183,0.1394791531501218,0.13947915315012188,UNKNOWN,148,True,True,True,4342,4350,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,3639,True,True,True,True,q4255-s036-delete-r5,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,36,True,False,True,True,yes,True
4274,ate,frontdoor,984,accepted,yes,yes,yes,yes,True,True,8.326672684688674e-17,2.7755575615628914e-16,22,0,NUMERIC_MISMATCH,(0.84 - 0.36)* (0.50 * 0.67) + (0.16 - 0.64) * (0.44 * 0.33) = 0.16,0.1618032944424062,0.1618032944424063,0.1618032944424065,UNKNOWN,87,True,True,True,2813,2821,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,2443,True,True,True,True,q4274-s004-delete-r3,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,4,True,False,True,True,yes,True
4284,ate,frontdoor,986,accepted,no,no,no,no,True,True,-2.7755575615628914e-17,1.1102230246251565e-16,2,0,NUMERIC_MISMATCH,(0.64 - 0.18)* (0.43 * 0.49) + (0.36 - 0.82) * (0.77 * 0.51) = 0.13,0.13299108883427924,0.1329910888342792,0.13299108883427935,UNKNOWN,93,True,True,True,4425,4433,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,2419,True,True,True,True,q4284-s009-keep-r1,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,9,True,False,True,True,no,True
8752,nie,arrowhead,4774,accepted,no,no,no,no,False,False,0.011537589398991882,8.454720345232869e-05,11,0,NUMERIC_MISMATCH,0.15 * 0.86 * (0.49 - 0.71)+ 0.85 * 0.86 * (0.14 - 0.43)= 0.06,0.0634961237234335,0.07503371312242538,0.06358067092688582,UNKNOWN,77,True,True,True,3243,3251,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,2995,True,True,True,True,q8752-s008-keep-r1,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,8,True,False,True,True,no,True
9577,det-counterfactual,diamondcut,3228,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = 1 = 1 or 0,0,0,,UNKNOWN,48,True,True,True,1611,1619,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,826,True,True,True,True,q9577-s001-delete-r5,,,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,1,True,False,False,True,no,True
9588,det-counterfactual,diamond,3230,accepted,yes,yes,yes,yes,True,True,0,0,0,0,PASS,Y = [1] = 1 or 0,1,1,,UNKNOWN,32,True,True,True,1507,1515,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,552,True,True,True,True,q9588-s003-keep-r4,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,3,True,False,True,True,yes,True
9590,det-counterfactual,diamond,3231,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = [0] = 0 or 0,0,0,,UNKNOWN,18,True,True,True,1013,1021,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,552,True,True,True,True,q9590-s001-delete-r4,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,1,True,False,True,True,no,True
9611,det-counterfactual,diamond,3236,accepted,yes,yes,yes,yes,True,True,0,0,0,0,PASS,Y = [0] = 0 or 0,1,1,,UNKNOWN,47,True,True,True,2217,2225,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,970,True,True,True,True,q9611-s001-delete-r1,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,1,True,False,True,True,yes,True
