question_id,group_id,query_type,arm,gold_answer,predicted_answer,correct,format_valid,api_ok,status,truncated,prompt_tokens,completion_tokens,total_tokens,latency_seconds
27122,model:6510,nie,ZERO,yes,yes,1,1,1,completed,0,294.0,2622.0,2916.0,170.56274907290936
26413,model:6347,ate,ZERO,yes,yes,1,1,1,completed,0,255.0,2376.0,2631.0,154.35782192833722
852,model:197,ett,ZERO,no,no,1,1,1,completed,0,201.0,1642.0,1843.0,108.55306893587112
14660,model:2092,nie,ZERO,no,no,1,1,1,completed,0,276.0,1278.0,1554.0,85.86128670535982
29734,model:3521,det-counterfactual,ZERO,no,no,1,1,1,completed,0,169.0,913.0,1082.0,63.112334696576
16350,model:5221,nie,ZERO,no,yes,0,1,1,completed,0,282.0,2135.0,2417.0,139.6856499183923
24219,model:2998,ett,ZERO,yes,yes,1,1,1,completed,0,203.0,1556.0,1759.0,103.12815621681511
14721,model:2104,ate,ZERO,yes,yes,1,1,1,completed,0,192.0,1553.0,1745.0,102.72240182384849
9772,model:3265,det-counterfactual,ZERO,no,no,1,1,1,completed,0,166.0,1375.0,1541.0,91.9205388110131
30734,model:3771,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,165.0,1215.0,1380.0,77.18453558906913
21681,model:2417,ate,ZERO,no,no,1,1,1,completed,0,181.0,922.0,1103.0,63.214182971045375
13560,model:1838,ett,ZERO,no,no,1,1,1,completed,0,200.0,2418.0,2618.0,154.16263396665454
28350,model:6792,ett,ZERO,yes,yes,1,1,1,completed,0,260.0,2864.0,3124.0,182.8072038013488
8791,model:4781,ett,ZERO,no,no,1,1,1,completed,0,219.0,1845.0,2064.0,121.12086335383356
14790,model:2116,ate,ZERO,yes,yes,1,1,1,completed,0,192.0,1635.0,1827.0,102.7372106295079
5352,model:3969,ett,ZERO,no,no,1,1,1,completed,0,190.0,1448.0,1638.0,92.43587044067681
20085,model:3382,det-counterfactual,ZERO,no,no,1,1,1,completed,0,198.0,1059.0,1257.0,71.59177111834288
29113,model:6959,ett,ZERO,no,no,1,1,1,completed,0,191.0,626.0,817.0,40.26982669904828
30767,model:3781,det-counterfactual,ZERO,no,no,1,1,1,completed,0,178.0,2259.0,2437.0,142.35483464039862
24244,model:3003,ate,ZERO,no,no,1,1,1,completed,0,254.0,1776.0,2030.0,113.34978515282273
2508,model:579,ate,ZERO,no,no,1,1,1,completed,0,183.0,546.0,729.0,34.52989360131323
857,model:199,ate,ZERO,no,no,1,1,1,completed,0,187.0,572.0,759.0,35.86030418984592
3092,model:712,ett,ZERO,yes,yes,1,1,1,completed,0,177.0,1538.0,1715.0,98.894495382905
30742,model:3773,det-counterfactual,ZERO,no,no,1,1,1,completed,0,166.0,1122.0,1288.0,72.44250493124127
28004,model:6713,ate,ZERO,no,no,1,1,1,completed,0,305.0,3054.0,3359.0,194.40329993516207
20494,model:3449,det-counterfactual,ZERO,no,no,1,1,1,completed,0,175.0,1970.0,2145.0,124.73341488465667
21396,model:2356,nde,ZERO,no,no,1,1,1,completed,0,286.0,2919.0,3205.0,184.87474794499576
16408,model:5236,ate,ZERO,no,no,1,1,1,completed,0,185.0,1475.0,1660.0,93.39489022269845
14579,model:2075,nie,ZERO,no,no,1,1,1,completed,0,276.0,4400.0,4676.0,276.3963698167354
11730,model:1413,ate,ZERO,yes,yes,1,1,1,completed,0,177.0,241.0,418.0,15.359056847169995
6014,model:4125,nie,ZERO,no,no,1,1,1,completed,0,202.0,1928.0,2130.0,121.90545511245728
8510,model:4707,ate,ZERO,yes,yes,1,1,1,completed,0,231.0,1536.0,1767.0,97.38481159321964
23697,model:2877,ate,ZERO,no,no,1,1,1,completed,0,238.0,3601.0,3839.0,225.8305765390396
25023,model:3186,nde,ZERO,no,no,1,1,1,completed,0,372.0,2219.0,2591.0,138.01834294386208
1613,model:372,ate,ZERO,no,no,1,1,1,completed,0,243.0,2782.0,3025.0,173.8241345062852
12121,model:1512,nie,ZERO,yes,yes,1,1,1,completed,0,170.0,1140.0,1310.0,70.73601430468261
20795,model:2222,nie,ZERO,no,no,1,1,1,completed,0,183.0,904.0,1087.0,56.40830291993916
22050,model:2504,ett,ZERO,yes,yes,1,1,1,completed,0,292.0,1926.0,2218.0,121.50448696501553
23024,model:2721,nie,ZERO,no,yes,0,1,1,completed,0,176.0,2419.0,2595.0,153.5788557678461
1283,model:290,nie,ZERO,no,no,1,1,1,completed,0,202.0,2897.0,3099.0,182.58244087733328
13835,model:1893,ate,ZERO,no,no,1,1,1,completed,0,226.0,2226.0,2452.0,140.22992133162916
2277,model:535,nde,ZERO,no,no,1,1,1,completed,0,272.0,3801.0,4073.0,239.18035142309964
957,model:224,ett,ZERO,yes,yes,1,1,1,completed,0,201.0,1265.0,1466.0,78.90628580376506
13241,model:1774,ett,ZERO,yes,yes,1,1,1,completed,0,227.0,2008.0,2235.0,126.99378804303706
967,model:228,ate,ZERO,yes,yes,1,1,1,completed,0,182.0,223.0,405.0,14.0331697948277
18754,model:5779,ate,ZERO,no,no,1,1,1,completed,0,236.0,1444.0,1680.0,91.70668177120388
8028,model:4581,ett,ZERO,yes,yes,1,1,1,completed,0,190.0,1574.0,1764.0,99.99422336369753
12508,model:1614,nie,ZERO,no,no,1,1,1,completed,0,258.0,1743.0,2001.0,110.64318758994341
13228,model:1772,ett,ZERO,no,no,1,1,1,completed,0,227.0,2332.0,2559.0,147.51628973707557
586,model:132,ate,ZERO,yes,yes,1,1,1,completed,0,178.0,486.0,664.0,31.019280299544334
10087,model:3315,det-counterfactual,ZERO,no,no,1,1,1,completed,0,165.0,1408.0,1573.0,89.43180378712714
4248,model:978,ett,ZERO,no,no,1,1,1,completed,0,270.0,3242.0,3512.0,204.95391086302698
24764,model:3125,ate,ZERO,yes,yes,1,1,1,completed,0,179.0,982.0,1161.0,63.45033219270408
5686,model:4052,ett,ZERO,no,no,1,1,1,completed,0,201.0,3740.0,3941.0,235.7207902483642
13611,model:1847,nde,ZERO,yes,yes,1,1,1,completed,0,330.0,2719.0,3049.0,171.36488033644855
29879,model:3557,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,165.0,716.0,881.0,45.629009544849396
2930,model:679,ate,ZERO,yes,yes,1,1,1,completed,0,208.0,677.0,885.0,43.495291801169515
18975,model:5837,ett,ZERO,yes,yes,1,1,1,completed,0,251.0,1868.0,2119.0,117.65663299895823
6148,model:4153,nde,ZERO,no,no,1,1,1,completed,0,264.0,2152.0,2416.0,135.50258713401854
17296,model:5459,ett,ZERO,no,no,1,1,1,completed,0,188.0,1574.0,1762.0,99.3453359529376
16869,model:5353,nie,ZERO,no,no,1,1,1,completed,0,170.0,1379.0,1549.0,86.81067036278546
15903,model:5117,ate,ZERO,no,no,1,1,1,completed,0,178.0,512.0,690.0,32.16877706348896
15332,model:4978,nie,ZERO,yes,yes,1,1,1,completed,0,278.0,1825.0,2103.0,114.40745443664491
16221,model:5196,ett,ZERO,no,no,1,1,1,completed,0,193.0,1317.0,1510.0,82.8001997359097
14726,model:2105,ett,ZERO,yes,yes,1,1,1,completed,0,206.0,1212.0,1418.0,76.2199328634888
7262,model:4414,ett,ZERO,no,no,1,1,1,completed,0,196.0,1438.0,1634.0,90.46794409677386
13599,model:1845,nde,ZERO,no,yes,0,1,1,completed,0,331.0,6572.0,6903.0,411.3102546874434
26507,model:6369,ate,ZERO,no,no,1,1,1,completed,0,179.0,426.0,605.0,26.69089598953724
